year,innovation_count
1970,79
1971,85
1972,91
1973,84
1974,74
1975,93
1976,112
1977,114
1978,124
1979,98
1980,139
1981,99
1982,114
1983,147
1984,122
1985,91
1986,80
1987,83
1988,80
1989,62
1990,49
1991,66
1992,57
1993,65
1994,71
1995,79
1996,71
1997,102
1998,105
1999,81
2000,103
2001,89
2002,76
2003,94
2004,98
2005,114
2006,89
2007,111
2008,152
2009,122
2010,140
2011,132
2012,112
2013,128
2014,97
2015,96
2016,76
2017,97
2018,92
2019,94
2020,78
2021,65
